Nematoda,Relative,Sample ,Grouping,Type,DNAcon,Sequence
Sabatieria,15.46288541,Tol1,Tolerant ,Tolerant_Dominance,6,18S
Halomonhystera,53.48863481,Tol1,Tolerant ,Tolerant_Dominance,8,18S
Leptolaimus,1.507956604,Tol1,Tolerant ,Tolerant_Dominance,2,18S
Paracanthonchus,0.291385053,Tol1,Less sensitive,Tolerant_Dominance,1.5,18S
Microlaimus,1.671568532,Tol1,Less sensitive,Tolerant_Dominance,1,18S
Daptonema,11.26896632,Tol1,Less sensitive,Tolerant_Dominance,2,18S
Axonolaimus,7.041156189,Tol1,Sensitive,Tolerant_Dominance,0.75,18S
Desmolaimus,8.644163533,Tol1,Sensitive,Tolerant_Dominance,0.75,18S
Sabatieria,16.58771837,Tol2,Tolerant ,Tolerant_Dominance,6,18S
Halomonhystera,55.75666773,Tol2,Tolerant ,Tolerant_Dominance,8,18S
Leptolaimus,1.900812687,Tol2,Tolerant ,Tolerant_Dominance,2,18S
Paracanthonchus,1.019517633,Tol2,Less sensitive,Tolerant_Dominance,1.5,18S
Microlaimus,1.398873033,Tol2,Less sensitive,Tolerant_Dominance,1,18S
Daptonema,9.854664509,Tol2,Less sensitive,Tolerant_Dominance,2,18S
Axonolaimus,6.470229177,Tol2,Sensitive,Tolerant_Dominance,0.75,18S
Desmolaimus,7.000923165,Tol2,Sensitive,Tolerant_Dominance,0.75,18S
Sabatieria,12.37920254,Tol3,Tolerant ,Tolerant_Dominance,6,18S
Halomonhystera,65.61803434,Tol3,Tolerant ,Tolerant_Dominance,8,18S
Leptolaimus,2.019997008,Tol3,Tolerant ,Tolerant_Dominance,2,18S
Paracanthonchus,1.416810876,Tol3,Less sensitive,Tolerant_Dominance,1.5,18S
Microlaimus,1.416454805,Tol3,Less sensitive,Tolerant_Dominance,1,18S
Daptonema,7.625996112,Tol3,Less sensitive,Tolerant_Dominance,2,18S
Axonolaimus,4.398914693,Tol3,Sensitive,Tolerant_Dominance,0.75,18S
Desmolaimus,4.985009364,Tol3,Sensitive,Tolerant_Dominance,0.75,18S
Sabatieria,5.876649509,Les1,Tolerant ,Less Sensitive_Dominance,2,18S
Halomonhystera,27.69639682,Les1,Tolerant ,Less Sensitive_Dominance,1.7,18S
Leptolaimus,0.412915302,Les1,Tolerant ,Less Sensitive_Dominance,1.1,18S
Paracanthonchus,7.463547029,Les1,Less sensitive,Less Sensitive_Dominance,4,18S
Microlaimus,4.630042113,Les1,Less sensitive,Less Sensitive_Dominance,5,18S
Daptonema,44.21787553,Les1,Less sensitive,Less Sensitive_Dominance,7,18S
Axonolaimus,2.301169862,Les1,Sensitive,Less Sensitive_Dominance,0.5,18S
Desmolaimus,7.171174543,Les1,Sensitive,Less Sensitive_Dominance,0.7,18S
Sabatieria,4.398976982,Les2,Tolerant ,Less Sensitive_Dominance,2,18S
Halomonhystera,24.21520289,Les2,Tolerant ,Less Sensitive_Dominance,1.7,18S
Leptolaimus,0.384950035,Les2,Tolerant ,Less Sensitive_Dominance,1.1,18S
Paracanthonchus,7.059614523,Les2,Less sensitive,Less Sensitive_Dominance,4,18S
Microlaimus,6.53070372,Les2,Less sensitive,Less Sensitive_Dominance,5,18S
Daptonema,46.19927757,Les2,Less sensitive,Less Sensitive_Dominance,7,18S
Axonolaimus,2.317082818,Les2,Sensitive,Less Sensitive_Dominance,0.5,18S
Desmolaimus,8.292509293,Les2,Sensitive,Less Sensitive_Dominance,0.7,18S
Sabatieria,4.425470333,Les3,Tolerant ,Less Sensitive_Dominance,2,18S
Halomonhystera,31.51628075,Les3,Tolerant ,Less Sensitive_Dominance,1.7,18S
Leptolaimus,0.359261939,Les3,Tolerant ,Less Sensitive_Dominance,1.1,18S
Paracanthonchus,7.268089725,Les3,Less sensitive,Less Sensitive_Dominance,4,18S
Microlaimus,5.380246022,Les3,Less sensitive,Less Sensitive_Dominance,5,18S
Daptonema,38.31295225,Les3,Less sensitive,Less Sensitive_Dominance,7,18S
Axonolaimus,2.861070912,Les3,Sensitive,Less Sensitive_Dominance,0.5,18S
Desmolaimus,8.185962374,Les3,Sensitive,Less Sensitive_Dominance,0.7,18S
Sabatieria,1.640550751,Sen1,Tolerant ,Sensitive_Dominance,1,18S
Halomonhystera,36.14373946,Sen1,Tolerant ,Sensitive_Dominance,0.6,18S
Leptolaimus,0.298089421,Sen1,Tolerant ,Sensitive_Dominance,3,18S
Paracanthonchus,1.642668615,Sen1,Less sensitive,Sensitive_Dominance,1.7,18S
Microlaimus,0.951715339,Sen1,Less sensitive,Sensitive_Dominance,1.7,18S
Daptonema,6.154249363,Sen1,Less sensitive,Sensitive_Dominance,2,18S
Axonolaimus,22.1811886,Sen1,Sensitive,Sensitive_Dominance,6,18S
Desmolaimus,30.98329799,Sen1,Sensitive,Sensitive_Dominance,6,18S
Sabatieria,1.51465956,Sen2,Tolerant ,Sensitive_Dominance,1,18S
Halomonhystera,34.95566078,Sen2,Tolerant ,Sensitive_Dominance,0.6,18S
Leptolaimus,0.249632087,Sen2,Tolerant ,Sensitive_Dominance,3,18S
Paracanthonchus,1.352314368,Sen2,Less sensitive,Sensitive_Dominance,1.7,18S
Microlaimus,1.103947308,Sen2,Less sensitive,Sensitive_Dominance,1.7,18S
Daptonema,7.751244997,Sen2,Less sensitive,Sensitive_Dominance,2,18S
Axonolaimus,20.66295873,Sen2,Sensitive,Sensitive_Dominance,6,18S
Desmolaimus,32.17934716,Sen2,Sensitive,Sensitive_Dominance,6,18S
Sabatieria,1.908938435,Sen3,Tolerant ,Sensitive_Dominance,1,18S
Halomonhystera,34.21240132,Sen3,Tolerant ,Sensitive_Dominance,0.6,18S
Leptolaimus,0.295089409,Sen3,Tolerant ,Sensitive_Dominance,3,18S
Paracanthonchus,1.754142601,Sen3,Less sensitive,Sensitive_Dominance,1.7,18S
Microlaimus,1.132121869,Sen3,Less sensitive,Sensitive_Dominance,1.7,18S
Daptonema,10.56079599,Sen3,Less sensitive,Sensitive_Dominance,2,18S
Axonolaimus,19.59381069,Sen3,Sensitive,Sensitive_Dominance,6,18S
Desmolaimus,29.71733209,Sen3,Sensitive,Sensitive_Dominance,6,18S
Sabatieria,27.27272727,Tol,Tolerant ,Tolerant_Dominance,6,18S
Halomonhystera,36.36363636,Tol,Tolerant ,Tolerant_Dominance,8,18S
Leptolaimus,9.090909091,Tol,Tolerant ,Tolerant_Dominance,2,18S
Paracanthonchus,6.818181818,Tol,Less sensitive,Tolerant_Dominance,1.5,18S
Microlaimus,4.545454545,Tol,Less sensitive,Tolerant_Dominance,1,18S
Daptonema,9.090909091,Tol,Less sensitive,Tolerant_Dominance,2,18S
Axonolaimus,3.409090909,Tol,Sensitive,Tolerant_Dominance,0.75,18S
Desmolaimus,3.409090909,Tol,Sensitive,Tolerant_Dominance,0.75,18S
Sabatieria,9.090909091,Les,Tolerant ,Less Sensitive_Dominance,2,18S
Halomonhystera,7.727272727,Les,Tolerant ,Less Sensitive_Dominance,1.7,18S
Leptolaimus,5,Les,Tolerant ,Less Sensitive_Dominance,1.1,18S
Paracanthonchus,18.18181818,Les,Less sensitive,Less Sensitive_Dominance,4,18S
Microlaimus,22.72727273,Les,Less sensitive,Less Sensitive_Dominance,5,18S
Daptonema,31.81818182,Les,Less sensitive,Less Sensitive_Dominance,7,18S
Axonolaimus,2.272727273,Les,Sensitive,Less Sensitive_Dominance,0.5,18S
Desmolaimus,3.181818182,Les,Sensitive,Less Sensitive_Dominance,0.7,18S
Sabatieria,4.545454545,Sen,Tolerant ,Sensitive_Dominance,1,18S
Halomonhystera,2.727272727,Sen,Tolerant ,Sensitive_Dominance,0.6,18S
Leptolaimus,13.63636364,Sen,Tolerant ,Sensitive_Dominance,3,18S
Paracanthonchus,7.727272727,Sen,Less sensitive,Sensitive_Dominance,1.7,18S
Microlaimus,7.727272727,Sen,Less sensitive,Sensitive_Dominance,1.7,18S
Daptonema,9.090909091,Sen,Less sensitive,Sensitive_Dominance,2,18S
Axonolaimus,27.27272727,Sen,Sensitive,Sensitive_Dominance,6,18S
Desmolaimus,27.27272727,Sen,Sensitive,Sensitive_Dominance,6,18S
Sabatieria,1.013706451,Tol1,Tolerant ,Tolerant_Dominance,6,28S
Halomonhystera,0.464020559,Tol1,Tolerant ,Tolerant_Dominance,8,28S
Leptolaimus,0.012492861,Tol1,Tolerant ,Tolerant_Dominance,2,28S
Paracanthonchus,0.005354083,Tol1,Less sensitive,Tolerant_Dominance,1.5,28S
Microlaimus,6.128640778,Tol1,Less sensitive,Tolerant_Dominance,1,28S
Daptonema,60.99193318,Tol1,Less sensitive,Tolerant_Dominance,2,28S
Axonolaimus,0.007138777,Tol1,Sensitive,Tolerant_Dominance,0.75,28S
Desmolaimus,31.3767133,Tol1,Sensitive,Tolerant_Dominance,0.75,28S
Sabatieria,1.633819092,Tol2,Tolerant ,Tolerant_Dominance,6,28S
Halomonhystera,0.92764974,Tol2,Tolerant ,Tolerant_Dominance,8,28S
Leptolaimus,0.028888747,Tol2,Tolerant ,Tolerant_Dominance,2,28S
Paracanthonchus,0.022469025,Tol2,Less sensitive,Tolerant_Dominance,1.5,28S
Microlaimus,7.722924825,Tol2,Less sensitive,Tolerant_Dominance,1,28S
Daptonema,50.60666367,Tol2,Less sensitive,Tolerant_Dominance,2,28S
Axonolaimus,0.025678886,Tol2,Sensitive,Tolerant_Dominance,0.75,28S
Desmolaimus,39.03190601,Tol2,Sensitive,Tolerant_Dominance,0.75,28S
Sabatieria,0.662136259,Tol3,Tolerant ,Tolerant_Dominance,6,28S
Halomonhystera,0.998182859,Tol3,Tolerant ,Tolerant_Dominance,8,28S
Leptolaimus,0.547631494,Tol3,Tolerant ,Tolerant_Dominance,2,28S
Paracanthonchus,0.721877878,Tol3,Less sensitive,Tolerant_Dominance,1.5,28S
Microlaimus,9.673163568,Tol3,Less sensitive,Tolerant_Dominance,1,28S
