,Tel1,Tel2,Tel3,Les1,Les2,Les3,Sensi1,Sensi2,Sensi3,Genus,Species,Grouping
18S_1,49.00488888,51.98833684,61.59762429,25.90734675,22.50586653,29.54377713,33.81779483,32.20928614,31.92482786,Halomonhystera,Halomonhystera_disjuncta,Tolerant
18S_10,4.415184745,3.72545162,3.90967163,1.780439869,1.682969916,1.928364689,2.269556493,2.703785384,2.239652955,Halomonhystera,Halomonhystera_disjuncta,Tolerant
18S_106,0,0,0.111094494,0,0,0,0,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_135,0,0.101901317,0,0,0,0,0,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_183,0,0,0,0,0.016347193,0,0,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_21,1.3751193,1.66018433,1.699888193,0.402058961,0.341445408,0.323806078,0.266586188,0.231500027,0.26829176,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_254,0,0,0,0,0.025311783,0.035455861,0,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_281,0.008180596,0.009080315,0.014242884,0,0.001845651,0,0.002117864,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_327,0.012076119,0,0.010682163,0,0,0,0,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_338,0,0,0.012818596,0,0,0,0.006618326,0.008433516,0.005674796,Halomonhystera,Halomonhystera_disjuncta,Tolerant
18S_4,15.46288541,16.57813359,12.37920254,5.875526439,4.398976982,4.425470333,1.640550751,1.51465956,1.908938435,Sabatieria,Sabatieria_pulchra,Tolerant
18S_404,0.023373133,0,0,0,0,0,0,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant 
18S_473,0.003116418,0,0.002136433,0.001497426,0,0,0,0,0,Halomonhystera,Halomonhystera_disjuncta,Tolerant
18S_515,0,0.013620473,0,0,0,0,0,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_529,0,0.009584777,0,0.00112307,0,0,0,0,0,Sabatieria,Sabatieria_pulchra,Tolerant
18S_556,0,0,0,0,0,0.005065123,0,0,0,Halomonhystera,Halomonhystera_disjuncta,Tolerant
18S_564,0,0,0,0,0,0,0.001853131,0,0,Halomonhystera,Halomonhystera_disjuncta,Tolerant
18S_570,0.003895522,0,0,0,0,0,0,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_69,0.046356713,0,0.076555501,0,0,0,0,0,0,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_92,0.065444771,0.042879267,0.032402561,0.007112775,0,0.008683068,0.018001848,0.034155742,0.018915988,Halomonhystera,Halomonhystera_disjuncta,Tolerant
18S_95,0,0,0.063380833,0,0.026366441,0.030390738,0.029914835,0,0.023329718,Halomonhystera,Halomonhystera_disjuncta,Tolerant
18S_98,0.062328354,0.116026252,0.107533773,0.010856341,0,0,0.029385369,0.01813206,0.026797649,Leptolaimus,Leptolaimus_sp.,Tolerant
18S_100,0,0,0,0,0,0,0.252290603,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_101,0,0,0,0,0,0,0.037062628,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_105,0,0,0,0,0,0,0,0.056926236,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_110,0,0,0,0,0,0,0.04421042,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_119,0,0,0,0,0,0,0.05718234,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_12,1.166708868,1.108302939,0.70110596,0.388582124,0.347773354,0.390738061,4.188076953,2.137896428,0.558967439,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_129,0,0,0,0,0,0,0,0.091503654,0.080077682,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_13,1.206053641,1.010437318,0.778729677,1.053065044,1.197300076,1.105643994,13.29886509,0.409447225,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_14,0.739370094,0.759719721,0.511675604,0.294992981,0.26260975,0.321997106,3.443647598,1.741099478,0.391245681,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_141,0,0,0,0,0,0,0.148515245,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_155,0,0,0,0,0,0,0.131837062,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_165,0,0,0,0,0,0,0.125483469,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_18,0.294111918,0.252735445,0.167709958,0.084978942,0.086481926,0.150506512,0.348918168,0.962264231,1.707798431,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_186,0,0,0,0,0,0,0,0,0.058639562,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_19,0.213864163,0.241637282,0.187293923,0.084978942,0.079890316,0.112879884,0.27717551,1.275991044,1.711896895,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_190,0.02999552,0,0,0,0,0,0.080478849,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_2,6.470072651,5.191922555,3.644041846,5.212166589,6.102249057,5.994934877,13.30415975,31.60544636,29.58712704,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_203,0,0,0,0,0,0,0.064859599,0,0.028689248,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_205,0,0,0,0,0,0,0.085244044,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_206,0,0,0,0,0,0,0.039974692,0.072106566,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_207,0,0,0,0,0,0,0,0.135779615,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_218,0,0,0,0,0,0,0,0.069998187,0.03562511,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_22,0.289437292,0.254753293,0.200112519,0.076368741,0.085427268,0.117945007,0.201726589,0.07168489,0.03121138,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_228,0,0,0,0,0,0,0.037856827,0,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_23,0,0,0,0,0,0,0,0.310353407,0.441057782,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_235,0,0,0,0,0,0,0,0,0.057378496,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_236,0,0,0,0,0,0,0,0,0.074402885,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_24,0.080637307,0.091307616,0,0,0,0.075976845,0.168370224,0.374448132,0.371068627,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_244,0,0,0,0,0,0,0.015354517,0,0.011034326,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_25,0.066613428,0.073651447,0,0,0,0,0.917300041,0.201139368,0.122323388,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_26,0.412925342,0.3541323,0.236075801,0.393074403,0.428190998,0.451881331,1.163501783,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_27,0,0,0,0,0,0,0.026738039,0.229391648,0.39849681,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_274,0,0,0,0,0,0,0.044475153,0,0,Desmolaimus,Desmolaimus_zeelandicus,Sensitive
18S_28,0.293332814,0.21540526,0.182308914,0.064014974,0.067761753,0.098408104,0.983218572,0.113852472,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_282,0,0,0,0,0,0,0.015883983,0.013915302,0,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_289,0,0,0,0,0,0,0,0,0.019546521,Axonolaimus,Axonolaimus_sp.,Sensitive
18S_29,0,0,0,0,0,0,0,0.193970879,0.3609801,Axonolaimus,Axonolaimus_sp.,Sensitive
