,Comm_A1,Comm_A2,Comm_A3,Comm_B1,Comm_B2,Comm_B3,Comm_C1,Comm_C2,Comm_C3,Comm_D1,Comm_D2,Comm_D3,Grouping
18S_537,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_542,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_540,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_559,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_560,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_58,0,0,0,0,0.113362525,0,0,0,0,0,0,0.108512536,Other metazoan
18S_514,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_6,2.312615882,11.81492317,0.691741669,0,0,0.096161163,6.828927595,5.764609385,5.735502209,0.542120816,0,0,Sensitive
18S_7,1.880334407,1.370711989,4.121184018,3.891402306,4.876908849,9.895606334,0.138116669,0.064754723,0.014097339,2.936323475,4.552514219,6.645525716,Sensitive
18S_8,1.821188221,2.678332142,4.349230722,2.243318855,4.320040307,8.672837584,0.126737739,0.078281266,0.016916806,2.49277008,4.806191804,5.584183926,Sensitive
18S_12,1.308930817,5.438739503,0.383878618,0,0,0.028709988,3.260652052,3.061315528,3.289790179,0.299842095,0,0,Sensitive
18S_14,0.894907513,5.084755226,0.138348334,0,0,0,3.365024308,2.2715957,2.381921573,0.334340692,0,0,Sensitive
18S_18,0.308845955,2.078122208,0.906865726,0.364734223,1.121360881,2.195795197,0.033352037,0,0,0.658627508,0.767689019,1.842731147,Sensitive
18S_19,0.486284514,0.575643202,0.616866334,0.735569948,1.244667487,2.046018997,0,0,0,0.428374012,0.560235484,0.761074225,Sensitive
18S_22,0.820846202,0.712993568,0,0,0,0,1.012332406,0.483501935,0.529178848,0.091864836,0,0,Sensitive
18S_23,0.254071443,0.056950152,0.548452323,0.724270871,0.614875682,0.888626002,0,0,0,0.245432879,0.322458972,0.621345754,Sensitive
18S_24,0.145036735,0.558334822,0.438609827,0.531056645,0.239983824,1.007616794,0,0,0,0.095610398,0.389021603,0.849767119,Sensitive
18S_25,0.45002533,0.50250134,0.069174167,0,0,0,0.466536136,0.341041544,0.380628142,0,0,0,Sensitive
18S_27,0.123949834,0.350634268,0.448491851,0.265528322,0.198218684,0.764446658,0,0,0,0.252924003,0.231859834,0.660489545,Sensitive
18S_28,0.150179882,0.106641951,0,0,0,0,0.477522689,0.522066971,0.132514983,0.028978822,0,0,Sensitive
18S_29,0.618720539,0,0.417705546,0.111408905,0.070602976,0.788659901,0,0,0,0.14331703,0.360547589,0.462293132,Sensitive
18S_30,0,0.395301054,0,0,0,0,0.936211287,0.417596017,0.537284817,0,0,0,Sensitive
18S_31,0.022887002,0,0.128086232,0.439082153,0.317216188,0.406436572,0,0,0,0.190037988,0.35463091,0.460806659,Sensitive
18S_38,0,0,0.376277062,0.545745445,0.229708274,0.21065521,0,0,0,0.144696974,0,0.126350213,Sensitive
18S_45,0,0,0.106041717,0,0,0,0,0,0,0.216059787,0.367573644,0.516797146,Sensitive
18S_46,0,0,0,0,0,0,0.666648356,0.314276258,0,0,0,0,Sensitive
18S_48,0.085376234,0.166942112,0,0,0,0,0.129484378,0.080871455,0.221680649,0,0,0,Sensitive
18S_49,0.059403344,0.201558871,0,0,0,0,0,0.063891327,0,0,0,0,Sensitive
18S_50,0,0,0,0.185530853,0.374560389,0,0,0,0,0,0,0.214052126,Sensitive
18S_55,0,0,0,0,0,0,0,0.558617415,0,0.075108375,0,0,Sensitive
18S_57,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_60,0.024172789,0,0,0.074573912,0.059664487,0.3493625,0,0,0,0.048889441,0,0,Sensitive
18S_61,0.028030149,0.088775237,0,0,0,0,0.099271356,0.104470954,0.091280267,0,0,0,Sensitive
18S_65,0.105691663,0,0,0,0.056018324,0.2096175,0,0,0,0,0,0,Sensitive
18S_67,0,0,0,0,0,0.576275173,0,0,0,0,0,0,Sensitive
18S_70,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive
18S_74,0,0.132325353,0.034967161,0.03932079,0.066293874,0,0,0,0,0,0,0,Sensitive
18S_78,0,0.223892264,0,0,0,0,0.077690627,0.103319759,0,0,0,0,Sensitive
18S_88,0,0,0,0,0,0,0,0,0,0.051846463,0.133495056,0,Sensitive
18S_90,0,0,0,0,0,0,0,0.157425928,0.086346199,0,0,0,Sensitive
18S_93,0,0,0,0,0,0,0,0,0.176921599,0,0,0,Sensitive
18S_105,0,0,0,0.047230144,0,0,0,0,0,0.034301463,0.066192839,0.085224457,Sensitive
18S_107,0,0,0.061192532,0.063048853,0.132256279,0,0,0,0,0,0,0,Sensitive
18S_110,0,0.025683402,0.020524203,0,0,0,0.098486602,0.019858115,0.039472548,0,0,0,Sensitive
18S_111,0,0,0,0,0.26849019,0,0,0,0,0,0,0,Sensitive
18S_112,0,0.450576202,0,0,0,0,0,0,0,0,0,0,Sensitive
