,Tel1,Tel2,Tel3,Les1,Les2,Les3,Sensi1,Sensi2,Sensi3
28S_1,25.21773272,30.71836682,21.51942847,10.53089203,10.55138896,17.87718454,56.70685162,69.13584088,64.98468614
28S_2,38.2745574,32.05366887,35.89475518,52.10243759,54.59694761,37.81109151,18.18062173,12.97223864,15.38915514
28S_3,2.625285551,2.019002375,2.262713763,3.618477591,0.038460866,0,0,0,0
28S_4,1.445602513,1.694806445,1.212256989,0.585386567,0.581283544,0.960219479,3.053354742,3.697020606,3.587818106
28S_6,0.986936037,1.136290685,0.776641028,0.402390076,0.39859443,0.660039549,2.029428022,2.516877703,2.271131597
28S_7,1.211807539,1.495795082,2.292584572,1.548898482,1.973741718,2.273172644,0.569871812,0.383701998,0.301189495
28S_8,1.422401485,1.980484047,1.259552436,1.412409386,1.937903184,2.077209485,0.764654787,0.46562756,0.389714786
28S_9,1.026199315,1.559992296,1.655340652,1.268843078,1.704515655,1.844725919,0.483009134,0.341183669,0.310347284
28S_10,3.565819532,2.975540862,4.137107012,1.771325157,1.943147847,3.24853473,1.151588534,0.652293397,0.756026334
28S_11,0.710308395,1.017525839,1.959027207,1.311306352,1.29805423,1.562360822,0.53433708,0.342220701,0.188243434
28S_12,2.305825243,1.983693908,2.170612103,2.641822281,2.72984738,1.871448168,1.031823327,0.783996516,0.92086653
28S_13,2.680611079,2.022212236,3.298235133,1.446784418,1.337389206,1.494664458,0.879155589,0.550664219,0.634940016
28S_14,0.672829812,1.059254028,0.634754686,0.168842067,0.169577455,0.348279978,0.268484641,0.181480675,0.255400552
28S_16,1.238577955,1.06888361,1.11517686,1.879505404,1.900316428,1.356599505,0.559343002,0.377479804,0.506730975
28S_17,1.17254426,1.056044168,1.279466308,1.713696428,0.205415989,2.157376231,0.336921903,0.202221323,0.178068114
28S_18,1.697244432,2.153816524,1.493540438,0.864430942,0.707155469,1.322751323,0.240846516,0.419998133,0.60237899
28S_19,1.540191319,1.255055531,1.553282055,0.673346207,0.716770686,0.970017637,0.731752257,0.322517085,0.375469337
28S_20,0.492575671,0.88271169,0.542653026,0.157720733,0.111012045,0.2182317,0.152667737,0.134814216,0.155682408
28S_21,0.489006282,0.625922835,0.23896647,0.281066435,0.439677628,0.468530098,0.269800742,0.222961972,0.248277827
28S_22,0.96016562,0.850613083,0.886167326,1.484192541,1.492106781,1.081360341,0.485641336,0.333924442,0.387679722
28S_23,0,0,0,2.506344215,2.543661824,1.817112928,0,0,0
28S_24,0,0,0.261369577,0.365992983,0.400342651,0.519302371,0.251375326,0.078814465,0.213681736
28S_25,0,0,0,2.245498387,2.336497614,1.515151515,0,0,0
28S_26,0.271273558,0.529627014,0.271326513,0,0.11800493,0.199526125,0.135558422,0.152443767,0.143472023
28S_27,0.324814392,0.574565064,0.308665024,0,0.053320746,0.182602034,0.1118686,0.073629302,0.079367502
28S_28,1.17254426,0,1.100241456,0.735019058,0.614499747,0.480109739,0,0,0
28S_29,0.622858367,0.78641587,1.018096732,0.383180499,0.463278614,0.678745123,0.275065147,0.128592021,0.139401895
28S_30,0.255211308,0.301726905,0.298708088,0.230514918,0.464152725,0.438244883,0.169777052,0.0767404,0.241155102
28S_31,0.920902342,0.885921551,0.893635029,0.53281299,0.431810633,0.655585841,0.086862678,0.043555362,0.060034393
28S_32,0.160622501,0.086666239,0.126950937,0.192095765,0.002622332,0,0,0,0
28S_33,0.654982867,0.677280606,0.856296518,0.300276011,0.316428034,0.522865338,0.231633808,0.166962221,0.150594747
28S_34,0.778126785,0.831353919,1.04796754,0.324540739,0.301568154,0.407959667,0.273749046,0.148295637,0.154664876
28S_35,0.219517419,0.353084676,0.423169791,0.169853097,0.230765196,0.375002227,0.109236398,0.048740524,0.049859072
28S_36,0,0,0,0,0,0,0,1.248587043,2.053379733
28S_37,0.207024557,0.433331193,0.55758843,0.114246429,0.169577455,0.34917072,0.092127083,0.052888654,0.042736347
28S_38,0,0,0,0,0.164332791,2.861952862,0,0,0
28S_39,0.337307253,0.523207293,0.393298982,0.29522086,0.249995629,0.285928064,0,0,0
28S_40,0.085665334,0.086666239,0.06720932,0.11829055,0,0,0,0,0
28S_41,0.21594803,0,0.214074129,0.110202307,0,0,0,0,0
28S_43,0,0,0,0,0,0,0,0.200147259,0.198418755
28S_44,0.135636779,0.18617192,0,0.318474557,0.085662838,0.057898206,0,0,0
28S_45,0.039263278,0.04814791,0.024892341,0.008088243,0.003496442,0.033848182,0.084230476,0.105777308,0.097683079
28S_46,0.092804112,0.04493805,0.047295447,0.081893458,0,0,0,0,0
28S_47,0.19988578,0.211850806,0,0.110202307,0.312057482,0.413304117,0.042115238,0,0
28S_49,0,0,0.5700346,0.191084734,0.091781612,0.34917072,0,0,0
28S_50,0.210593946,0.150863453,0,0.069761094,0.112760266,0.246735432,0.051327946,0,0
28S_51,0,0,0,0.510570322,0.502613591,0.45873194,0,0,0
28S_52,0,0,0,0.012132364,0.238632192,0.20219835,0.136874523,0.114073567,0
28S_53,0,0,0,0.138511157,0.166081013,0.213777992,0.071069464,0.126517956,0.104805804
28S_54,0,0,0.077166256,0,0.04370553,0.13093902,1.703034929,0,0
28S_55,0.187392918,0.176542338,0.14686481,0.073805215,0.076921732,0.084620455,0.351399016,0.123406859,0
28S_56,0,0,0,0.113235398,0.14685058,0,0,0,0
28S_58,0,0,0,0,0.152095243,0,0,0,0
28S_59,0,0,0.114504767,0,0.076921732,0.188837226,0,0.047703492,0
28S_60,0.201670474,0.253578995,0.206606427,0.096047882,0.110137935,0.161224235,0.45668711,0.130666086,0.039683751
28S_61,0,0,0.09210166,0.359926801,0.357511232,0.512176438,0.051327946,0.032148005,0.027473366
28S_62,0.16419189,0.060987353,0.112015533,0.026286789,0.015733991,0.118468637,0.326393093,0.167999253,0.187225902
28S_64,0.030339806,0.028888746,0.037338511,0.014154425,0.017482212,0.040974115,0.053960148,0.018666584,0.00508766
28S_65,0.11600514,0.147653592,0.136907873,0.008088243,0.015733991,0.042755598,0.009212708,0.015555486,0.011192853
28S_66,0.422972587,0.282467741,0.492868344,0.11829055,0.139857695,0.153207561,0.080282172,0.057036784,0.066139585
28S_68,0.103512279,0.109135264,0.134418639,0.017187516,0.01485988,0.033848182,0.086862678,0.099555113,0.106840868
28S_69,0.151699029,0,0.196649491,0.161764855,0.126746036,0.094418613,0,0,0
28S_71,0,0,0,0.17693031,0.319924477,0.395489284,0.105288095,0.101629178,0.085472695
28S_72,0,0,0.141886342,0.057628729,0.107515603,0.102435288,0,0,0
