,CommA1,CommA2,CommA3,CommB1,CommB2,CommB3,CommC1,CommC2,CommC3,CommD1,CommD2,CommD3,Genus,Grouping
28S_102,0.024489488,0,0,0,0,0.007631549,0.193621203,0.105894618,0.1517067,0.001469832,0,0,Axonolaimus,Sensitive
28S_108,0,0,0,0,0,0.007631549,0.330810096,0,0,0,0,0,Axonolaimus,Sensitive
28S_118,0.014442519,0.147687114,0.008919493,0,0,0,0.188756349,0.057314098,0.117227905,0,0,0,Axonolaimus,Sensitive
28S_122,0,0.311197848,0,0,0,0,0.141080776,0.067139372,0.105734973,0,0,0,Axonolaimus,Sensitive
28S_160,0.173938161,0,0,0,0,0,0,0,0,0,0,0,Axonolaimus,Sensitive
28S_166,0,0,0,0,0,0,0,0,0.304562694,0,0,0,Axonolaimus,Sensitive
28S_179,0,0.654042935,0,0,0,0.007631549,0.048648543,0,0,0,0,0,Axonolaimus,Sensitive
28S_195,0,0,0,0,0,0,0,0,0,0.096518949,0,0,Axonolaimus,Sensitive
28S_214,0,0,0,0,0,0,0,0,0,0.075451361,0,0,Axonolaimus,Sensitive
28S_216,0,0,0,0,0,0,0.148864543,0,0,0,0,0,Axonolaimus,Sensitive
28S_224,0,0,0,0,0,0,0,0,0,0.072021754,0,0,Axonolaimus,Sensitive
28S_239,0,0,0,0,0,0,0,0,0,0.062712819,0,0,Axonolaimus,Sensitive
28S_240,0.010674905,0.026372699,0.010703391,0.016179593,0,0.099210135,0,0,0,0.004409495,0.007760908,0.010777742,Axonolaimus,Sensitive
28S_244,0,0,0,0,0,0,0,0,0,0.061242988,0,0,Axonolaimus,Sensitive
28S_246,0.011302841,0.01054908,0.01248729,0.010112246,0.002495321,0.068683939,0,0,0,0.004899439,0.008466445,0.008211613,Axonolaimus,Sensitive
28S_255,0.067189109,0,0,0,0,0,0,0,0,0,0,0,Axonolaimus,Sensitive
28S_280,0,0,0,0,0,0,0,0,0,0.044584895,0,0,Axonolaimus,Sensitive
28S_309,0,0,0,0,0,0,0.069080932,0,0,0,0,0,Axonolaimus,Sensitive
28S_319,0,0.131863495,0,0,0,0,0.02237833,0.008187728,0,0,0,0,Axonolaimus,Sensitive
28S_327,0,0.311197848,0,0,0,0,0,0,0,0,0,0,Axonolaimus,Sensitive
28S_382,0,0,0,0,0,0,0,0.022379791,0,0,0,0,Axonolaimus,Sensitive
28S_384,0,0,0,0,0,0,0,0,0,0.0200877,0,0,Axonolaimus,Sensitive
28S_385,0,0,0,0,0,0,0,0,0,0.0200877,0,0,Axonolaimus,Sensitive
28S_395,0,0,0,0,0,0,0,0,0,0.019107812,0,0,Axonolaimus,Sensitive
28S_402,0.001255871,0.01054908,0.014271188,0,0.004990643,0.011447323,0,0,0,0.000979888,0.000705537,0.004619032,Axonolaimus,Sensitive
28S_406,0.001883807,0.021098159,0.005351696,0,0,0.015263098,0,0,0,0.000979888,0.003527685,0.005132258,Axonolaimus,Sensitive
28S_408,0,0,0,0,0,0,0,0,0,0,0.025399334,0,Axonolaimus,Sensitive
28S_414,0,0,0,0,0,0,0,0,0,0.017148037,0,0,Axonolaimus,Sensitive
28S_430,0,0.168785273,0,0,0,0,0,0,0,0,0,0,Axonolaimus,Sensitive
28S_431,0,0,0,0.038426535,0,0,0,0,0,0,0,0,Axonolaimus,Sensitive
28S_441,0.009419034,0.015823619,0.010703391,0,0,0,0.000972971,0.001091697,0,0,0,0,Axonolaimus,Sensitive
28S_446,0.001883807,0.026372699,0,0,0,0.049605067,0,0,0,0.000489944,0.000705537,0.001539677,Axonolaimus,Sensitive
28S_454,0,0,0,0,0,0,0.02237833,0,0,0,0,0,Axonolaimus,Sensitive
28S_458,0,0,0,0,0,0,0.012648621,0,0,0,0,0,Axonolaimus,Sensitive
