"","Type","Relative","Indiv"
"1","Even_Community","12.18720025","10"
"2","Even_Community","33.77255673","10"
"3","Even_Community","14.47944539","10"
"4","Tolerant_Dominance","10.64892862","5"
"5","Tolerant_Dominance","14.56045504","5"
"6","Tolerant_Dominance","28.99086123","5"
"7","Less Sensitive_Dominance","18.4770283","9"
"8","Less Sensitive_Dominance","14.77501331","9"
"9","Less Sensitive_Dominance","13.8404146","9"
"10","Sensitive_Dominance","9.501110855","20"
"11","Sensitive_Dominance","13.21896887","20"
"12","Sensitive_Dominance","19.24487167","20"
"13","Even_Community","14.28571429","10"
"14","Tolerant_Dominance","6.25","5"
"15","Less Sensitive_Dominance","11.25","9"
"16","Sensitive_Dominance","25","20"
