,Type,Relative,Indiv
1,Even_Community,0.012600709,0
2,Even_Community,0.018983384,0
3,Even_Community,0.058531988,0
4,Tolerant_Dominance,11.90764586,8
5,Tolerant_Dominance,13.14242908,8
6,Tolerant_Dominance,2.7450899,8
7,Less Sensitive_Dominance,4.103870013,16
8,Less Sensitive_Dominance,28.84808542,16
9,Less Sensitive_Dominance,42.55704577,16
10,Sensitive_Dominance,14.87717513,9
11,Sensitive_Dominance,21.42133406,9
12,Sensitive_Dominance,11.77831731,9
13,Even_Community,14.28571429,0
14,Tolerant_Dominance,8.75,7
15,Less Sensitive_Dominance,18.75,15
16,Sensitive_Dominance,12.5,10
