"","Type","Relative","Indiv"
"1","Even_Community","7.987337149","0"
"2","Even_Community","9.127795611","0"
"3","Even_Community","7.46734411","0"
"4","Tolerant_Dominance","32.93092844","8"
"5","Tolerant_Dominance","30.37188306","8"
"6","Tolerant_Dominance","22.12915715","8"
"7","Less Sensitive_Dominance","31.80785221","16"
"8","Less Sensitive_Dominance","36.97772134","16"
"9","Less Sensitive_Dominance","54.95818399","16"
"10","Sensitive_Dominance","21.61634817","9"
"11","Sensitive_Dominance","18.59033995","9"
"12","Sensitive_Dominance","14.14671508","9"
