"","Type","Relative","Indiv"
"1","Even_Community","42.86349832","10"
"2","Even_Community","16.48874397","10"
"3","Even_Community","28.27665106","10"
"4","Tolerant_Dominance","13.02806239","3"
"5","Tolerant_Dominance","9.204904421","3"
"6","Tolerant_Dominance","7.337304305","3"
"7","Less Sensitive_Dominance","21.44143579","8"
"8","Less Sensitive_Dominance","28.76894075","8"
"9","Less Sensitive_Dominance","19.03581253","8"
"10","Sensitive_Dominance","42.41947535","17"
"11","Sensitive_Dominance","49.57621791","17"
"12","Sensitive_Dominance","54.42423942","17"
"13","Even_Community","14.28571429","10"
"14","Tolerant_Dominance","3.75","3"
"15","Less Sensitive_Dominance","10","8"
"16","Sensitive_Dominance","21.25","17"
