"","Type","Relative","Indiv"
"1","Even_Community","11.12613507","10"
"2","Even_Community","9.450714434","10"
"3","Even_Community","13.27853535","10"
"4","Tolerant_Dominance","2.764876787","3"
"5","Tolerant_Dominance","1.944325022","3"
"6","Tolerant_Dominance","1.842464527","3"
"7","Less Sensitive_Dominance","7.950459182","8"
"8","Less Sensitive_Dominance","10.18453193","8"
"9","Less Sensitive_Dominance","6.425716993","8"
"10","Sensitive_Dominance","7.167220245","17"
"11","Sensitive_Dominance","8.559442827","17"
"12","Sensitive_Dominance","9.909792352","17"
