"","Type","Relative","Indiv"
"1","Even_Community","34.31610293","10"
"2","Even_Community","36.42129713","10"
"3","Even_Community","37.56613354","10"
"4","Tolerant_Dominance","36.12902642","15"
"5","Tolerant_Dominance","41.2434079","15"
"6","Tolerant_Dominance","38.32472034","15"
"7","Less Sensitive_Dominance","40.80798252","5"
"8","Less Sensitive_Dominance","10.58178521","5"
"9","Less Sensitive_Dominance","11.44333839","5"
"10","Sensitive_Dominance","8.067349148","4"
"11","Sensitive_Dominance","6.807138473","4"
"12","Sensitive_Dominance","8.596769399","4"
"13","Even_Community","14.28571429","10"
"14","Tolerant_Dominance","18.75","15"
"15","Less Sensitive_Dominance","6.25","5"
"16","Sensitive_Dominance","5","4"
