"","Type","Relative","Indiv"
"1","Even_Community","21.37112537","10"
"2","Even_Community","23.11684613","10"
"3","Even_Community","17.87081763","10"
"4","Tolerant_Dominance","19.46070322","15"
"5","Tolerant_Dominance","24.73291058","15"
"6","Tolerant_Dominance","16.85689987","15"
"7","Less Sensitive_Dominance","13.56691218","5"
"8","Less Sensitive_Dominance","2.863615697","5"
"9","Less Sensitive_Dominance","3.810230061","5"
"10","Sensitive_Dominance","2.61745533","4"
"11","Sensitive_Dominance","3.061119978","4"
"12","Sensitive_Dominance","2.696584591","4"
