"","Type","Relative","Indiv"
"1","Even_Community","2.082974384","10"
"2","Even_Community","1.649321065","10"
"3","Even_Community","1.327991973","10"
"4","Tolerant_Dominance","0.123611908","13"
"5","Tolerant_Dominance","0.211145989","13"
"6","Tolerant_Dominance","0.038395285","13"
"7","Less Sensitive_Dominance","0.010594176","3"
"8","Less Sensitive_Dominance","0.16865008","3"
"9","Less Sensitive_Dominance","0.283885156","3"
"10","Sensitive_Dominance","0","3"
"11","Sensitive_Dominance","0","3"
"12","Sensitive_Dominance","0.090674859","3"
"13","Even_Community","14.28571429","10"
"14","Tolerant_Dominance","16.25","13"
"15","Less Sensitive_Dominance","3.75","3"
"16","Sensitive_Dominance","3.75","3"
