"","Type","Relative","Indiv"
"1","Even_Community","1.086211205","10"
"2","Even_Community","1.186192793","10"
"3","Even_Community","0.898304154","10"
"4","Tolerant_Dominance","0.733235782","13"
"5","Tolerant_Dominance","0.844797936","13"
"6","Tolerant_Dominance","0.638400251","13"
"7","Less Sensitive_Dominance","0.341545577","3"
"8","Less Sensitive_Dominance","0.587930954","3"
"9","Less Sensitive_Dominance","0.566767308","3"
"10","Sensitive_Dominance","0.202068346","3"
"11","Sensitive_Dominance","0.175823425","3"
"12","Sensitive_Dominance","0.309202315","3"
