"","Type","Relative","Indiv"
"1","Even_Community","2.0467152","10"
"2","Even_Community","1.817938181","10"
"3","Even_Community","1.394885672","10"
"4","Tolerant_Dominance","0.496933431","7"
"5","Tolerant_Dominance","0.169380848","7"
"6","Tolerant_Dominance","1.190945631","7"
"7","Less Sensitive_Dominance","10.74406431","15"
"8","Less Sensitive_Dominance","13.96946455","15"
"9","Less Sensitive_Dominance","10.20189151","15"
"10","Sensitive_Dominance","1.961294545","10"
"11","Sensitive_Dominance","1.858946388","10"
"12","Sensitive_Dominance","3.004162126","10"
"13","Even_Community","0","10"
"14","Tolerant_Dominance","10","7"
"15","Less Sensitive_Dominance","20","15"
"16","Sensitive_Dominance","11.25","10"
