"","Type","Relative","Indiv"
"1","Even_Community","2.019263427","10"
"2","Even_Community","1.885095257","10"
"3","Even_Community","1.305014259","10"
"4","Tolerant_Dominance","0.631971838","7"
"5","Tolerant_Dominance","0.299871022","7"
"6","Tolerant_Dominance","0.663018664","7"
"7","Less Sensitive_Dominance","3.194888178","15"
"8","Less Sensitive_Dominance","3.966574166","15"
"9","Less Sensitive_Dominance","2.689643402","15"
"10","Sensitive_Dominance","1.008852281","10"
"11","Sensitive_Dominance","0.87783686","10"
"12","Sensitive_Dominance","1.061500056","10"
