,Type,Relative,Indiv
1,Even_Community,0.445139341,10
2,Even_Community,0.816285511,10
3,Even_Community,1.495226222,10
4,Tolerant_Dominance,0.336486529,9
5,Tolerant_Dominance,1.048769088,9
6,Tolerant_Dominance,0.510207611,9
7,Less Sensitive_Dominance,2.875337935,20
8,Less Sensitive_Dominance,1.812844459,20
9,Less Sensitive_Dominance,1.281800512,20
10,Sensitive_Dominance,1.396897492,12
11,Sensitive_Dominance,1.361575611,12
12,Sensitive_Dominance,0.472698445,12
13,Even_Community,14.28571429,10
14,Tolerant_Dominance,11.25,9
15,Less Sensitive_Dominance,25,20
16,Sensitive_Dominance,15,12
