"","Type","Relative","Indiv"
"1","Even_Community","8.817856159","10"
"2","Even_Community","8.796464071","10"
"3","Even_Community","11.34941039","10"
"4","Tolerant_Dominance","3.892564788","9"
"5","Tolerant_Dominance","5.784071367","9"
"6","Tolerant_Dominance","4.949979857","9"
"7","Less Sensitive_Dominance","8.72645608","20"
"8","Less Sensitive_Dominance","9.191320571","20"
"9","Less Sensitive_Dominance","6.01138243","20"
"10","Sensitive_Dominance","8.914341888","12"
"11","Sensitive_Dominance","9.756919846","12"
"12","Sensitive_Dominance","9.769091115","12"
