"","Type","Relative","Indiv"
"1","Even_Community","5.165519316","10"
"2","Even_Community","6.285733429","10"
"3","Even_Community","13.29702323","10"
"4","Tolerant_Dominance","26.66130338","20"
"5","Tolerant_Dominance","20.18383291","20"
"6","Tolerant_Dominance","20.52937067","20"
"7","Less Sensitive_Dominance","0.463397121","4"
"8","Less Sensitive_Dominance","0.999237333","4"
"9","Less Sensitive_Dominance","0.104144089","4"
"10","Sensitive_Dominance","3.233405682","5"
"11","Sensitive_Dominance","5.706636295","5"
"12","Sensitive_Dominance","2.245069864","5"
"13","Even_Community","14.28571429","10"
"14","Tolerant_Dominance","25","20"
"15","Less Sensitive_Dominance","5","4"
"16","Sensitive_Dominance","6.25","5"
