"","Type","Relative","Indiv"
"1","Even_Community","14.41168366","10"
"2","Even_Community","14.46986954","10"
"3","Even_Community","11.08926248","10"
"4","Tolerant_Dominance","19.04345337","20"
"5","Tolerant_Dominance","16.78579106","20"
"6","Tolerant_Dominance","19.87209615","20"
"7","Less Sensitive_Dominance","5.131872686","4"
"8","Less Sensitive_Dominance","4.777918881","4"
"9","Less Sensitive_Dominance","1.929833854","4"
"10","Sensitive_Dominance","3.748442286","5"
"11","Sensitive_Dominance","3.866835094","5"
"12","Sensitive_Dominance","4.622716441","5"
